År;Drept;Hardt skadd;Lettere skadd;Sum
2023;10;40;461;511
2022;3;41;376;420
2021;6;35;330;371
2020;12;43;318;373
2019;5;62;392;459
2018;7;49;412;468
2017;8;49;396;453
2016;11;57;387;455
2015;12;47;318;377
2014;3;36;448;487
2013;16;45;473;534
2012;11;72;745;828
2011;18;62;736;816
2010;21;97;1166;1284
2009;23;93;884;1000
2008;24;79;910;1013
2007;26;104;1086;1216
2006;25;72;1023;1120
2005;20;88;955;1063
2004;30;119;1333;1482
2003;27;101;1191;1319
2002;54;147;1399;1600
2001;33;121;1238;1392
2000;35;140;1235;1410
1999;34;152;1369;1555
1998;42;170;1544;1756
1997;39;227;1703;1969
1996;49;240;1865;2154
1995;54;256;2151;2461
1994;51;250;2154;2455
1993;64;223;2005;2292
1992;54;208;1586;1848
1991;56;205;1609;1870
1990;54;222;1498;1774
